station_number,date_ymd,date,y_tomorrow,snow_depth,total_precipitation,mean_temp,min_temperature,max_temperature,rain,fog,hail,thunder,tornado
725300,2000-01-01,2000-01-01,1.0,,0.0,38.400001525878906,,26.100000381469727,False,False,False,False,False
725300,2000-01-02,2000-01-02,1.0,,0.0099999997764825,47.79999923706055,,36.0,True,True,True,True,True
725300,2000-01-03,2000-01-03,1.0,,0.0099999997764825,37.5,,35.099998474121094,True,True,True,True,True
725300,2000-01-04,2000-01-04,1.0,1.2000000476837158,0.25,29.700000762939453,,26.100000381469727,True,True,True,True,True
725300,2000-01-05,2000-01-05,0.0,,0.0,20.399999618530277,,12.199999809265137,True,True,True,True,True
725300,2000-01-06,2000-01-06,0.0,,0.0,29.700000762939453,,12.899999618530272,False,False,False,False,False
725300,2000-01-07,2000-01-07,0.0,,0.0,26.600000381469727,,21.0,False,False,False,False,False
725300,2000-01-08,2000-01-08,1.0,,0.0,33.099998474121094,,21.899999618530277,False,False,False,False,False
725300,2000-01-09,2000-01-09,1.0,,0.1299999952316284,38.400001525878906,,29.100000381469727,True,True,True,True,True
725300,2000-01-10,2000-01-10,0.0,,0.1099999994039535,41.29999923706055,,39.20000076293945,True,True,True,True,True
725300,2000-01-11,2000-01-11,0.0,,0.0,35.79999923706055,,30.200000762939453,False,False,False,False,False
725300,2000-01-12,2000-01-12,1.0,,0.0,30.200000762939453,,26.600000381469727,False,False,False,False,False
725300,2000-01-13,2000-01-13,0.0,,0.0099999997764825,29.600000381469727,,23.0,True,True,True,True,True
725300,2000-01-14,2000-01-14,0.0,,0.0,19.5,,10.899999618530272,False,False,False,False,False
725300,2000-01-15,2000-01-15,0.0,,0.0,31.399999618530277,,26.100000381469727,False,False,False,False,False
725300,2000-01-16,2000-01-16,1.0,,0.0,32.5,,25.0,False,False,False,False,False
725300,2000-01-17,2000-01-17,1.0,2.0,0.1099999994039535,23.399999618530277,,19.0,True,True,True,True,True
725300,2000-01-18,2000-01-18,1.0,1.2000000476837158,0.0,24.799999237060547,,19.0,True,True,True,True,True
725300,2000-01-19,2000-01-19,1.0,1.2000000476837158,,23.299999237060547,,9.0,True,True,True,True,True
725300,2000-01-20,2000-01-20,0.0,3.0999999046325684,0.2899999916553497,15.300000190734863,,5.0,True,True,True,True,True
725300,2000-01-21,2000-01-21,1.0,3.0999999046325684,0.0,3.0,,-2.900000095367432,False,False,False,False,False
725300,2000-01-22,2000-01-22,1.0,3.900000095367432,0.0299999993294477,12.399999618530272,,1.899999976158142,True,True,True,True,True
725300,2000-01-23,2000-01-23,0.0,3.900000095367432,0.0199999995529651,18.5,,7.0,True,True,True,True,True
725300,2000-01-24,2000-01-24,1.0,3.900000095367432,0.0,5.199999809265137,,-2.900000095367432,False,False,False,False,False
725300,2000-01-25,2000-01-25,0.0,3.900000095367432,0.0099999997764825,15.300000190734863,,-2.900000095367432,True,True,True,True,True
725300,2000-01-26,2000-01-26,1.0,3.900000095367432,0.0,14.100000381469728,,7.0,False,False,False,False,False
725300,2000-01-27,2000-01-27,0.0,3.900000095367432,0.0,18.799999237060547,,7.0,True,True,True,True,True
725300,2000-01-28,2000-01-28,0.0,3.900000095367432,0.0299999993294477,21.299999237060547,,14.0,False,False,False,False,False
725300,2000-01-29,2000-01-29,1.0,3.0999999046325684,0.0,24.0,,10.899999618530272,False,False,False,False,False
725300,2000-01-30,2000-01-30,1.0,7.900000095367432,0.0599999986588954,26.399999618530277,,24.100000381469727,True,True,True,True,True
725300,2000-01-31,2000-01-31,0.0,7.099999904632568,0.0299999993294477,22.399999618530277,,14.199999809265137,True,True,True,True,True
725300,2000-02-01,2000-02-01,1.0,7.099999904632568,0.0,24.899999618530277,,14.0,False,False,False,False,False
725300,2000-02-02,2000-02-02,1.0,5.900000095367432,0.0,18.100000381469727,,10.399999618530272,True,True,True,True,True
725300,2000-02-03,2000-02-03,1.0,5.900000095367432,0.0,31.600000381469727,,10.899999618530272,True,True,True,True,True
725300,2000-02-04,2000-02-04,0.0,5.099999904632568,0.0299999993294477,29.100000381469727,,24.799999237060547,True,True,True,True,True
725300,2000-02-05,2000-02-05,1.0,5.099999904632568,0.0,21.100000381469727,,15.100000381469728,False,False,False,False,False
725300,2000-02-06,2000-02-06,1.0,5.099999904632568,0.0,23.899999618530277,,12.899999618530272,True,True,True,True,True
725300,2000-02-07,2000-02-07,0.0,5.099999904632568,0.0,29.799999237060547,,12.899999618530272,True,True,True,True,True
725300,2000-02-08,2000-02-08,1.0,5.099999904632568,0.0,24.299999237060547,,10.0,False,False,False,False,False
725300,2000-02-09,2000-02-09,1.0,3.0999999046325684,0.0,36.900001525878906,,28.899999618530277,True,True,True,True,True
725300,2000-02-10,2000-02-10,1.0,2.0,0.0,36.400001525878906,,33.099998474121094,True,True,True,True,True
725300,2000-02-11,2000-02-11,0.0,,0.0,27.899999618530277,,23.0,True,True,True,True,True
725300,2000-02-12,2000-02-12,1.0,,0.0,23.600000381469727,,15.100000381469728,False,False,False,False,False
725300,2000-02-13,2000-02-13,1.0,,0.0,30.700000762939453,,30.0,True,True,True,True,True
725300,2000-02-14,2000-02-14,1.0,,0.0599999986588954,29.600000381469727,,26.100000381469727,True,True,True,True,True
725300,2000-02-15,2000-02-15,0.0,,0.0,29.0,,19.0,True,True,True,True,True
725300,2000-02-16,2000-02-16,0.0,,0.0,34.099998474121094,,19.200000762939453,False,False,False,False,False
725300,2000-02-17,2000-02-17,1.0,,0.0,27.399999618530277,,18.0,False,False,False,False,False
725300,2000-02-18,2000-02-18,1.0,3.0999999046325684,0.0,30.299999237060547,,18.0,True,True,True,True,True
725300,2000-02-19,2000-02-19,0.0,9.100000381469728,0.1899999976158142,29.299999237060547,,26.100000381469727,True,True,True,True,True
